po_id,order_date,quantity,unit_price,total_cost,status,vendor_id,asset_id,ordered_by
PO001,2023-01-10,5,1250.00,6250.00,Delivered,V001,A001,E007
PO002,2023-02-28,2,2100.00,4200.00,Delivered,V009,A007,E007
PO003,2023-03-01,3,1480.00,4440.00,Delivered,V005,A005,E007
PO004,2023-04-15,1,9200.00,9200.00,Delivered,V001,A015,E007
PO005,2023-05-10,2,640.00,1280.00,Delivered,V008,A019,E001
PO006,2023-06-01,10,180.00,1800.00,Delivered,V002,A013,E001
PO007,2023-07-10,1,4800.00,4800.00,Delivered,V004,A014,E002
PO008,2023-08-01,1,9200.00,9200.00,Delivered,V001,A006,E007
PO009,2023-09-15,2,1250.00,2500.00,Delivered,V001,A020,E001
PO010,2023-10-20,3,420.00,1260.00,Delivered,V002,A018,E001
PO011,2023-11-01,2,1250.00,2500.00,Delivered,V001,A026,E007
PO012,2023-12-05,1,780.00,780.00,Delivered,V008,A030,E001
PO013,2024-01-08,4,380.00,1520.00,Delivered,V004,A010,E002
PO014,2024-02-14,2,1400.00,2800.00,Delivered,V005,A025,E007
PO015,2024-03-01,1,4800.00,4800.00,Delivered,V004,A003,E002
PO016,2024-04-10,3,180.00,540.00,Delivered,V002,A022,E001
PO017,2024-05-05,2,1250.00,2500.00,Pending,V001,,E007
PO018,2024-06-01,1,2100.00,2100.00,Pending,V009,,E002
PO019,2024-06-20,5,420.00,2100.00,Delivered,V002,A027,E001
PO020,2024-07-15,2,1480.00,2960.00,Pending,V005,,E007
